cipher score order iop    latency    energy
c8     0.5   rnd   4k-r   0.408402   1.0
c20    1.5   rnd   4k-r   0.361319   0.914112
ff     2.0   rnd   4k-r   0.0        0.0
fb     2.5   rnd   4k-r   0.253189   0.800367
fs     3.0   rnd   4k-r   1.0        0.403702
c8     0.5   seq   4k-r   0.524906   0.147588
c20    1.5   seq   4k-r   0.370921   0.746232
ff     2.0   seq   4k-r   0.0        0.0
fb     2.5   seq   4k-r   0.436888   0.287592
fs     3.0   seq   4k-r   1.0        1.0
c8     0.5   rnd   4k-w   0.0        0.0
c20    1.5   rnd   4k-w   0.00408076 0.0364364
ff     2.0   rnd   4k-w   0.149508   0.0572124
fb     2.5   rnd   4k-w   0.363595   0.0598205
fs     3.0   rnd   4k-w   1.0        1.0
c8     0.5   seq   4k-w   0.0680563  0.289362
c20    1.5   seq   4k-w   0.0825581  0.193387
ff     2.0   seq   4k-w   0.0        0.0
fb     2.5   seq   4k-w   0.0891347  0.163888
fs     3.0   seq   4k-w   1.0        1.0
c8     0.5   rnd   512k-r 0.0        0.0146994
c20    1.5   rnd   512k-r 0.001317   0.0
ff     2.0   rnd   512k-r 0.097337   0.0783406
fb     2.5   rnd   512k-r 0.290973   0.230139
fs     3.0   rnd   512k-r 1.0        1.0
c8     0.5   seq   512k-r 0.0        0.0
c20    1.5   seq   512k-r 0.002948   0.00473613
ff     2.0   seq   512k-r 0.090494   0.0665142
fb     2.5   seq   512k-r 0.275835   0.177751
fs     3.0   seq   512k-r 1.0        1.0
c8     0.5   rnd   512k-w 0.0        0.0
c20    1.5   rnd   512k-w 0.007836   0.00291726
ff     2.0   rnd   512k-w 0.111053   0.0648305
fb     2.5   rnd   512k-w 0.306415   0.245574
fs     3.0   rnd   512k-w 1.0        1.0
c8     0.5   seq   512k-w 0.0        0.0
c20    1.5   seq   512k-w 0.001583   0.0167362
ff     2.0   seq   512k-w 0.085725   0.0734374
fb     2.5   seq   512k-w 0.303393   0.266731
fs     3.0   seq   512k-w 1.0        1.0
c8     0.5   rnd   5m-r   0.0        0.00
c20    1.5   rnd   5m-r   0.00636096 0.0019360
ff     2.0   rnd   5m-r   0.0955569  0.0783418
fb     2.5   rnd   5m-r   0.282225   0.259123
fs     3.0   rnd   5m-r   1.0        1.0
c8     0.5   seq   5m-r   0.0        0.0
c20    1.5   seq   5m-r   0.00217002 0.00140475
ff     2.0   seq   5m-r   0.0778290  0.0780066
fb     2.5   seq   5m-r   0.358588   0.259545
fs     3.0   seq   5m-r   1.0        1.0
c8     0.5   rnd   5m-w   0.0        0.0
c20    1.5   rnd   5m-w   0.00765019 0.00108215
ff     2.0   rnd   5m-w   0.0722422  0.0847321
fb     2.5   rnd   5m-w   0.293737   0.237752
fs     3.0   rnd   5m-w   1.0        1.0
c8     0.5   seq   5m-w   0.0        0.0
c20    1.5   seq   5m-w   0.00826300 0.000854092
ff     2.0   seq   5m-w   0.0735111  0.0891369
fb     2.5   seq   5m-w   0.299465   0.245022
fs     3.0   seq   5m-w   1.0        1.0
c8     0.5   rnd   40m-r  0.0        0.0
c20    1.5   rnd   40m-r  0.0003001  0.00137613
ff     2.0   rnd   40m-r  0.0774473  0.0782444
fb     2.5   rnd   40m-r  0.274569   0.260741
fs     3.0   rnd   40m-r  1.0        1.0
c8     0.5   seq   40m-r  0.0        0.0
c20    1.5   seq   40m-r  0.0006127  0.00229680
ff     2.0   seq   40m-r  0.0766591  0.0767750
fb     2.5   seq   40m-r  0.262936   0.261591
fs     3.0   seq   40m-r  1.0        1.0
c8     0.5   rnd   40m-w  0.0        0.0
c20    1.5   rnd   40m-w  0.0011357  0.00106752
ff     2.0   rnd   40m-w  0.0653824  0.0977526
fb     2.5   rnd   40m-w  0.287507   0.248333
fs     3.0   rnd   40m-w  1.0        1.0
c8     0.5   seq   40m-w  0.0        0.0
c20    1.5   seq   40m-w  0.0022938  0.00283397
ff     2.0   seq   40m-w  0.0659023  0.0956322
fb     2.5   seq   40m-w  0.298733   0.246716
fs     3.0   seq   40m-w  1.0        1.0

