cipher score order iop    ratio latency    energy
c8     0.5   rnd   4k-r   0     0.00237092 0.108465
c8+c20 0.75  rnd   4k-r   1     0.0197419  0.112470
c8+c20 1.0   rnd   4k-r   2     0.178230   0.199099
c8+c20 1.25  rnd   4k-r   3     0.196587   0.263099
c20    1.5   rnd   4k-r   0     0.160836   0.247240
c20+ff 1.625 rnd   4k-r   1     0.181845   0.211042
c20+ff 1.75  rnd   4k-r   2     0.0273500  0.078450
c20+ff 1.875 rnd   4k-r   3     0.0243944  0.182321
ff     2.0   rnd   4k-r   0     0.0        0.0
ff+fb  2.125 rnd   4k-r   1     0.146381   0.170406
ff+fb  2.25  rnd   4k-r   2     0.186164   0.353171
ff+fb  2.375 rnd   4k-r   3     0.206802   0.137271
fb     2.5   rnd   4k-r   0     0.120888   0.226237
fb+fs  2.625 rnd   4k-r   1     0.844167   0.825820
fb+fs  2.75  rnd   4k-r   2     0.878394   0.778075
fb+fs  2.875 rnd   4k-r   3     1.0        1.0
fs     3.0   rnd   4k-r   0     0.396789   0.152993
c8     0.5   seq   4k-r   0     0.0325556  0.0397771
c8+c20 0.75  seq   4k-r   1     0.0903066  0.0759609
c8+c20 1.0   seq   4k-r   2     0.184756   0.101120
c8+c20 1.25  seq   4k-r   3     0.180237   0.0997113
c20    1.5   seq   4k-r   0     0.240162   0.0603319
c20+ff 1.625 seq   4k-r   1     0.166289   0.151325
c20+ff 1.75  seq   4k-r   2     0.0512949  0.0993799
c20+ff 1.875 seq   4k-r   3     0.00037030 0.0893799
ff     2.0   seq   4k-r   0     0.0        0.0
ff+fb  2.125 seq   4k-r   1     0.192154   0.0775098
ff+fb  2.25  seq   4k-r   2     0.192570   0.344267
ff+fb  2.375 seq   4k-r   3     0.208492   0.444190
fb     2.5   seq   4k-r   0     0.283400   0.144606
fb+fs  2.625 seq   4k-r   1     0.840215   0.769312
fb+fs  2.75  seq   4k-r   2     0.923184   0.907752
fb+fs  2.875 seq   4k-r   3     1.0        1.0
fs     3.0   seq   4k-r   0     0.411105   0.269514
c8     0.5   rnd   4k-w   0     0.0        0.0
c8+c20 0.75  rnd   4k-w   1     0.00540388 0.0130378
c8+c20 1.0   rnd   4k-w   2     0.0163763  0.00957571
c8+c20 1.25  rnd   4k-w   3     0.0189303  0.0364470
c20    1.5   rnd   4k-w   0     0.0345385  0.0243476
c20+ff 1.625 rnd   4k-w   1     0.0676954  0.0786041
c20+ff 1.75  rnd   4k-w   2     0.0906654  0.0840214
